id,user_id,skill,level
108,18,php,1
109,18,powershell,1
110,18,visio,1
111,18,windows,1
112,19,coaching,1
113,19,e-commerce,1
114,19,go,1
115,19,implementation,3
116,19,leadership,1
117,19,project management,1
118,19,technical,1
119,19,training,1
120,20,consulting,2
121,20,design,1
122,20,foundation,1
123,20,go,1
124,20,implementation,8
125,20,presentation,1
126,20,reporting,2
127,20,training,7
128,21,coaching,1
129,21,design,1
130,21,hardware,3
131,21,mobile,1
132,21,reporting,1
133,22,communication,2
134,22,ensemble,2
135,22,go,1
136,23,certifications,1
137,23,data processing,1
138,23,documentation,2
139,23,http,1
140,23,implementation,1
141,23,networks,1
142,23,penetration testing,1
143,23,processing,1
144,23,programming,1
145,23,prototyping,1
146,23,tech support,1
147,23,technical,8
148,23,training,1
149,24,collaboration,1
150,24,design,1
151,24,hardware,1
152,24,internet,1
153,24,leadership,4
154,24,project management,2
155,24,reporting,3
156,24,reporting tools,1
157,24,training,1
158,25,analytics,3
159,25,coaching,1
160,25,collaboration,2
161,25,communication,2
162,25,critical thinking,2
163,25,data analytics,2
164,25,design,3
165,25,http,1
166,25,implementation,3
167,25,leadership,6
168,25,mentoring,1
169,25,presentation,1
170,25,project management,1
171,25,spark,2
172,25,training,6
173,26,collaboration,1
174,26,e-commerce,1
175,26,html,1
176,26,php,1
177,26,powershell,1
178,26,visio,1
179,26,windows,1
180,27,collaboration,1
181,27,design,1
182,27,project management,1
183,27,teamwork,1
184,27,training,1
185,27,volleyball,2
186,28,foundation,2
187,28,innovation,1
188,28,organizational,1
189,28,training,2
190,29,collaboration,1
191,29,innovation,3
192,30,collaboration,1
193,30,documentation,1
194,31,mobile,1
195,31,reporting,1
196,32,coaching,1
197,32,e-commerce,1
198,32,go,1
199,32,implementation,3
200,32,leadership,1
201,32,project management,1
202,32,technical,1
203,32,training,1
204,33,coaching,1
205,33,design,1
206,33,hardware,3
207,33,mobile,1
208,33,reporting,1
209,34,certifications,1
210,34,data processing,1
211,34,documentation,2
212,34,http,1
213,34,implementation,1
214,34,networks,1
215,34,penetration testing,1
216,34,processing,1
217,34,programming,1
218,34,prototyping,1
219,34,tech support,1
220,34,technical,8
221,34,training,1
222,35,collaboration,1
223,35,design,1
224,35,hardware,1
225,35,internet,1
226,35,leadership,4
227,35,project management,2
228,35,reporting,3
229,35,reporting tools,1
230,35,training,1
231,36,ai,5
232,36,assembleur,1
233,36,communication,1
234,36,design,1
235,36,e-commerce,3
236,36,ensemble,2
237,36,mobile,2
238,37,mobile,1
239,38,angular,1
240,38,communication,1
241,38,design,1
242,38,e-commerce,2
243,38,git,2
244,38,html,1
245,38,http,1
246,38,internet,3
247,38,mobile,1
248,38,node.js,1
249,38,nodejs,1
250,38,svg,1
251,39,ai,4
252,39,mobile,2
253,40,ai,2
254,40,android,1
255,40,extjs,1
256,40,internet,1
257,40,less,1
258,40,mobile,4
259,40,phonegap,1
260,40,scrum,1
261,40,sencha touch,1
262,41,internet,1
263,42,communication,1
264,42,design,1
265,42,diagnostics,1
266,42,internet,1
267,43,communication,2
268,43,implementation,1
269,44,mobile,1
270,45,communication,1
271,46,backend,4
272,46,communication,1
273,46,consulting,1
274,46,design,1
275,46,documentation,2
276,46,ensemble,1
277,46,frontend,5
278,46,go,1
279,46,html,3
280,46,http,1
281,46,innovation,1
282,46,internet,3
283,46,modeling,2
284,46,php,1
285,46,reporting,2
286,46,tableau,4
287,47,data collection,2
288,47,statistical analysis,2
289,47,training,2
290,48,analytical,1
291,48,analytics,1
292,48,communication,1
293,48,consulting,1
294,48,data analytics,1
295,48,mathematics,1
296,48,programming,1
297,49,communication,1
298,49,data collection,1
299,49,data mining,2
300,49,deep learning,1
301,49,design,3
302,49,engineering,2
303,49,go,1
304,49,implementation,1
305,49,innovation,1
306,49,machine learning,4
307,49,mathematics,1
308,49,mobile,1
309,49,processing,3
310,49,technical,3
311,49,training,1
312,50,analytics,1
313,50,big data,1
314,50,communication,1
315,50,http,2
316,50,innovation,1
317,50,insights,4
318,50,mobile,4
319,50,networks,1
320,50,problem solving,5
321,50,swing,1
322,51,design,2
323,51,leadership,1
324,51,training,1
325,52,artificial neural network,1
326,52,coding,5
327,52,data analysis,4
328,52,modeling,2
329,52,training,1
330,53,implementation,2
331,53,processing,1
332,53,programming,1
333,53,technical,1
334,54,analytics,3
335,54,big data,2
336,54,data analytics,1
337,54,data mining,1
338,54,dom,1
339,54,ensemble,1
340,54,http,4
341,54,insights,1
342,54,machine learning,5
343,54,modeling,1
344,54,processing,1
345,54,shiny,2
346,54,statistical analysis,1
347,55,databases,1
348,55,hadoop,1
349,55,hive,1
350,55,python,1
351,55,reporting,1
352,56,analytics,2
353,56,cloud computing,1
354,56,collaboration,1
355,56,design,1
356,56,http,1
357,56,implementation,1
358,56,innovation,1
359,56,internet,1
360,56,machine learning,5
361,56,operating system,1
362,56,programming,1
363,57,internet,1
364,58,mobile,1
365,58,reporting,1
366,59,collaboration,1
367,59,e-commerce,1
368,59,html,1
369,59,php,1
370,59,powershell,1
371,59,visio,1
372,59,windows,1
373,60,collaboration,1
374,61,ensemble,1
375,61,hardware,1
376,61,internet,1
377,61,wimax,1
378,62,ai,2
379,62,hardware,1
380,62,internet,1
381,63,e-commerce,1
382,64,certifications,1
383,64,cloud computing,1
384,64,collaboration,7
385,64,communication,4
386,64,documentation,1
387,64,dos,1
388,64,e-commerce,1
389,64,ensemble,1
390,64,http,1
391,64,innovation,5
392,64,internet,3
393,64,lte,4
394,64,mobile,1
395,64,networks,2
396,64,tableau,1
397,64,wimax,1
398,65,communication,2
399,66,communication,1
400,66,internet,2
401,67,design,1
402,68,ensemble,3
403,68,reporting,3
404,69,consulting,2
405,69,design,1
406,69,foundation,1
407,69,go,1
408,69,implementation,8
409,69,presentation,1
410,69,reporting,2
411,69,training,7
412,70,design,3
413,70,go,3
414,70,implementation,2
415,70,training,4
416,71,communication,2
417,71,ensemble,2
418,71,go,1
419,72,collaboration,1
420,72,communication,2
421,72,ensemble,4
422,73,coaching,1
423,73,design,1
424,73,hardware,3
425,73,mobile,1
426,73,reporting,1
427,74,sql,1
428,74,sql server,1
429,74,tableau,1
430,75,ai,4
431,75,ajax,1
432,75,asp.net,1
433,75,collaboration,1
434,75,internet,1
435,75,jquery,1
436,75,php,1
437,75,vb.net,1
438,76,ai,5
439,76,coaching,1
440,76,communication,4
441,76,documentation,1
442,76,ensemble,1
443,76,reporting,2
444,77,coaching,1
445,78,documentation,1
446,78,ensemble,2
447,78,reporting,1
448,79,collaboration,2
449,79,communication,2
450,79,e-commerce,1
451,79,mobile,1
452,79,training,2
453,80,design,1
454,80,internet,1
455,81,collaboration,1
456,81,communication,1
457,82,collaboration,3
458,82,communication,9
459,82,design,1
460,82,documentation,3
461,82,e-commerce,3
462,82,ensemble,3
463,82,innovation,1
464,82,mobile,2
465,82,project manager,1
466,82,reporting,3
467,83,communication,1
468,83,fortran,1
469,83,mobile,1
470,84,collaboration,1
471,84,communication,4
472,84,design,2
473,84,design patterns,1
474,84,engineering,1
475,84,internet,1
476,84,maven,1
477,84,mobile,2
478,84,python,2
479,85,ai,1
480,86,ai,5
481,86,coaching,1
482,86,communication,4
483,86,documentation,1
484,86,ensemble,1
485,86,reporting,2
486,87,communication,1
487,88,internet,1
488,89,coaching,1
489,89,design,1
490,89,hardware,3
491,89,mobile,1
492,89,reporting,1
493,90,internet,1
494,90,jsp,1
495,91,engineering,1
496,92,collaboration,7
497,92,communication,6
498,92,innovation,3
499,93,ai,1
500,93,documentation,1
501,93,html,3
502,93,http,1
503,94,ai,1
504,94,coaching,1
505,94,collaboration,2
506,94,communication,2
507,94,innovation,3
508,94,internet,3
509,94,leadership,1
510,95,ai,6
511,95,analytical,3
512,95,collaboration,3
513,95,communication,1
514,95,design,1
515,95,engineering,1
516,95,ensemble,3
517,95,matlab,1
518,95,modeling,1
519,95,programming,1
520,96,html,1
521,96,http,3
522,97,ai,2
523,97,collaboration,1
524,98,mobile,1
525,99,ensemble,1
526,99,iptables,1
527,99,javascript,1
528,100,analytics,1
529,100,collaboration,1
530,100,communication,1
531,100,e-commerce,1
532,100,internet,2
533,101,analytical,1
534,101,communication,4
535,101,data management,1
536,101,documentation,1
537,101,implementation,1
538,101,innovation,1
539,101,leadership,1
540,101,networks,1
541,101,organizational,1
542,101,presentation,1
543,101,priorities,1
544,101,processing,1
545,101,reporting,1
546,101,training,6
547,102,collaboration,1
548,102,consulting,2
549,102,desk,1
550,102,engineering,1
551,102,hardware,1
552,102,implementation,7
553,102,programming,1
554,102,reporting,2
555,102,technical,1
556,103,analytics,1
557,103,communication,1
558,103,implementation,1
559,103,project manager,1
560,103,reporting,2
561,103,technical,3
562,103,training,2
563,104,collaboration,1
564,104,desk,1
565,104,engineering,1
566,104,hardware,1
567,104,reporting,1
568,105,collaboration,9
569,105,communication,1
570,105,communication technologies,1
571,105,design,3
572,105,e-commerce,1
573,105,http,2
574,105,innovation,2
575,105,internet,1
576,105,problem solving,2
577,106,collaboration,4
578,106,communication,1
579,106,ensemble,1
580,106,internet,1
581,106,leadership,1
582,107,collaboration,2
583,107,communication,3
584,107,documentation,1
585,107,ensemble,1
586,108,collaboration,1
587,109,ai,2
588,109,hardware,1
589,109,internet,1
590,110,communication,1
591,110,documentation,3
592,111,ai,2
593,111,hardware,1
594,111,internet,1
595,112,e-commerce,1
596,113,communication,1
597,113,ensemble,1
598,113,hardware,2
599,114,certifications,1
600,115,collaboration,3
601,115,communication,9
602,115,design,1
603,115,documentation,3
604,115,e-commerce,3
605,115,ensemble,3
606,115,innovation,1
607,115,mobile,2
608,115,project manager,1
609,115,reporting,3
610,116,communication,1
611,116,internet,1
612,117,ai,1
613,117,collaboration,1
614,118,assembleur,1
615,118,communication,1
616,118,documentation,1
617,118,http,1
618,118,internet,1
619,119,communication,1
620,119,internet,1
621,120,coaching,1
622,120,communication,2
623,120,ensemble,1
624,120,project management,1
625,121,ensemble,1
626,121,html,2
627,122,pascal,1
628,123,ai,4
629,123,ajax,1
630,123,asp.net,1
631,123,collaboration,1
632,123,internet,1
633,123,jquery,1
634,123,php,1
635,123,vb.net,1
636,124,http,5
637,124,internet,1
638,124,prestashop,1
639,125,implementation,1
640,125,innovation,1
641,125,mentoring,1
642,125,presentation,7
643,125,programming,1
644,125,training,3
645,126,ai,5
646,126,coaching,1
647,126,communication,4
648,126,documentation,1
649,126,ensemble,1
650,126,reporting,2
651,127,communication,1
652,127,ensemble,1
653,127,mobile,2
654,127,reporting,1
655,128,http,1
656,128,internet,1
657,129,collaboration,3
658,129,communication,9
659,129,design,1
660,129,documentation,3
661,129,e-commerce,3
662,129,ensemble,3
663,129,innovation,1
664,129,mobile,2
665,129,project manager,1
666,129,reporting,3
667,130,ai,2
668,130,hardware,1
669,130,internet,1
670,131,ensemble,5
671,132,coaching,1
672,132,design,1
673,132,hardware,3
674,132,mobile,1
675,132,reporting,1
676,133,collaboration,2
677,133,communication,2
678,133,e-commerce,1
679,133,mobile,1
680,133,training,2
681,134,communication,1
682,134,reporting,2
683,135,design,1
684,135,mobile,1
685,136,communication,1
686,136,mobile,1
687,137,internet,1
688,138,communication,1
689,138,internet,1
690,139,communication,2
691,140,communication,4
692,140,e-commerce,1
693,141,internet,1
694,142,ai,1
695,142,communication,1
696,143,debugging,1
697,143,internet,1
698,144,ai,2
699,144,hardware,1
700,144,internet,1
701,145,ai,3
702,145,certifications,1
703,145,communication,2
704,145,ensemble,2
705,145,internet,4
706,145,leadership,2
707,145,mobile,4
708,146,certifications,1
709,146,cloud computing,1
710,146,collaboration,7
711,146,communication,4
712,146,documentation,1
713,146,dos,1
714,146,e-commerce,1
715,146,ensemble,1
716,146,http,1
717,146,innovation,5
718,146,internet,3
719,146,lte,4
720,146,mobile,1
721,146,networks,2
722,146,tableau,1
723,146,wimax,1
724,147,design,1
725,147,mobile,1
726,148,communication,1
727,148,ensemble,1
728,148,mobile,2
729,148,reporting,1
730,149,communication,1
731,150,desk,1
732,150,hardware,1
733,150,internet,1
734,151,desk,1
735,152,desk,1
736,153,collaboration,1
737,153,communication,2
738,153,ensemble,4
739,154,communication,1
740,154,design,1
741,154,diagnostics,1
742,154,internet,1
743,155,collaboration,1
744,155,ensemble,2
745,156,internet,1
746,156,jsp,1
747,157,ai,1
748,157,http,1
749,158,mobile,1
750,158,reporting,1
751,159,communication,1
752,160,ensemble,5
753,161,collaboration,1
754,161,communication,2
755,161,ensemble,3
756,162,desk,1
757,162,implementation,7
758,162,networks,1
759,162,processing,1
760,162,social media marketing,1
761,162,software development,1
762,162,technical,3
763,162,training,3
764,162,website development,2
765,163,analytics,1
766,163,collaboration,1
767,163,communication,1
768,163,e-commerce,1
769,163,internet,2
770,164,analytical,1
771,164,analytics,3
772,164,attention to detail,1
773,164,coding,1
774,164,consulting,1
775,164,databases,2
776,164,design,7
777,164,desk,1
778,164,documentation,3
779,164,e-commerce,1
780,164,implementation,6
781,164,innovation,1
782,164,internet,3
783,164,leadership,1
784,164,less,1
785,164,networks,2
786,164,presentation,2
787,164,programming,1
788,164,project management,1
789,164,reporting,3
790,164,social media marketing,1
791,164,statistical analysis,2
792,164,technical,4
793,164,training,7
794,164,troubleshooting,1
795,164,web development,1
796,165,consulting,1
797,165,content marketing,2
798,165,design,1
799,165,digital marketing,1
800,165,hardware,1
801,165,implementation,1
802,165,insights,2
803,166,analytics,1
804,166,collaboration,1
805,166,design,1
806,166,engineering,1
807,166,mobile,8
808,166,presentation,1
809,166,priorities,1
810,166,project management,1
811,166,reporting,1
812,166,scrum,1
813,166,technical,2
814,166,web analytics,1
815,166,website development,1
816,167,certifications,1
817,167,cloud computing,1
818,167,collaboration,7
819,167,communication,4
820,167,documentation,1
821,167,dos,1
822,167,e-commerce,1
823,167,ensemble,1
824,167,http,1
825,167,innovation,5
826,167,internet,3
827,167,lte,4
828,167,mobile,1
829,167,networks,2
830,167,tableau,1
831,167,wimax,1
832,168,collaboration,2
833,168,communication,1
834,168,desk,1
835,169,ai,5
836,169,coaching,1
837,169,communication,4
838,169,documentation,1
839,169,ensemble,1
840,169,reporting,2
841,170,ai,1
842,170,communication,4
843,170,mobile,1
844,171,internet,1
845,172,communication,2
846,173,documentation,1
847,173,ensemble,2
848,173,reporting,1
849,174,desk,1
850,175,collaboration,1
851,175,communication,1
852,176,ensemble,1
853,177,communication,5
854,177,e-commerce,2
855,177,http,1
856,178,ai,2
857,178,hardware,1
858,178,internet,1
859,179,hardware,1
860,179,html,1
861,180,ensemble,1
862,180,hardware,1
863,180,reporting,1
864,181,communication,1
865,181,internet,1
866,182,internet,1
867,183,internet,1
868,184,ai,1
869,184,communication,1
870,184,designer,1
871,184,engineering,1
872,184,ensemble,1
873,184,internet,2
874,184,reporting,2
875,185,ensemble,1
876,186,ai,2
877,186,hardware,1
878,186,internet,1
879,187,ai,5
880,187,communication,6
881,187,eclipse,1
882,187,http,1
883,188,design,1
884,188,internet,1
885,189,communication,1
886,190,collaboration,1
887,191,ai,1
888,191,http,1
889,192,internet,1
890,193,ensemble,3
891,194,innovation,1
892,194,mobile,1
893,195,ai,1
894,195,diagnostics,1
895,196,ai,2
896,196,hardware,1
897,196,internet,1
898,197,ai,5
899,197,coaching,1
900,197,communication,4
901,197,documentation,1
902,197,ensemble,1
903,197,reporting,2
904,198,ai,6
905,198,bootstrap,1
906,198,certifications,1
907,198,ensemble,4
908,198,go,1
909,198,hardware,1
910,198,internet,1
911,198,mobile,1
912,198,sas,1
913,199,design,1
914,199,mobile,1
915,200,ai,5
916,200,coaching,1
917,200,communication,4
918,200,documentation,1
919,200,ensemble,1
920,200,reporting,2
921,201,internet,1
922,22,e-commerce,1
923,3,internet,1
924,3,word,1
925,42,communication,1
926,42,ensemble,1
927,42,hardware,2
928,53,documentation,1
929,53,dom,1
930,62,internet,1
931,72,documentation,1
932,72,dom,1
933,8,communication,1
934,29,communication,2
935,29,ensemble,2
936,29,go,1
937,10,innovation,1
938,10,mobile,1
939,21,communication,1
940,21,reporting,2
941,12,collaboration,1
942,23,design,1
943,23,e-commerce,3
944,23,ensemble,2
945,23,reporting,1
946,41,collaboration,3
947,41,communication,9
948,41,design,1
949,41,documentation,3
950,41,e-commerce,3
951,41,ensemble,3
952,41,innovation,1
953,41,mobile,2
954,41,project manager,1
955,41,reporting,3
956,52,collaboration,2
957,26,ensemble,2
958,26,hardware,1
959,26,reporting,2
960,17,ai,5
961,17,coaching,1
962,17,communication,4
963,17,documentation,1
964,17,ensemble,1
965,17,reporting,2
966,81,communication,3
967,81,control systems,1
968,81,customer service,2
969,81,design,3
970,81,documentation,3
971,81,engineering,3
972,81,hardware,1
973,81,internet,1
974,81,leadership,1
975,81,mentoring,1
976,81,mobile,2
977,81,multitasking,1
978,81,networks,5
979,81,problem solving,1
980,81,project management,1
981,81,technical,8
982,81,telecom,3
983,81,time management,1
984,81,training,1
985,81,troubleshooting,4
986,81,word,2
987,92,cloud computing,2
988,92,communication,4
989,92,design,9
990,92,documentation,1
991,92,http,1
992,92,implementation,1
993,92,leadership,6
994,92,presentation,3
995,92,project management,1
996,92,technical,4
997,92,training,1
998,22,coaching,1
999,22,design,1
1000,22,hardware,3
1001,22,mobile,1
1002,22,reporting,1
1003,12,databases,3
1004,12,design,3
1005,12,documentation,1
1006,12,engineering,1
1007,12,hardware,1
1008,12,implementation,2
1009,12,mobile,7
1010,12,network security,1
1011,12,networks,2
1012,12,operating system,1
1013,12,technical,1
1014,12,training,1
1015,200,collaboration,3
1016,26,ai,1
1017,26,http,1
1018,4,communication,1
1019,4,ensemble,1
1020,5,collaboration,1
1021,5,communication,1
1022,34,ai,5
1023,34,assembleur,1
1024,34,communication,1
1025,34,design,1
1026,34,e-commerce,3
1027,34,ensemble,2
1028,34,mobile,2
1029,20,collaboration,3
1030,20,communication,9
1031,20,design,1
1032,20,documentation,3
1033,20,e-commerce,3
1034,20,ensemble,3
1035,20,innovation,1
1036,20,mobile,2
1037,20,project manager,1
1038,20,reporting,3
1039,8,ai,2
1040,8,innovation,1
1041,8,scrum,1
1042,29,http,1
1043,32,programming,1
1044,32,training,4
1045,32,website development,2
1046,13,e-commerce,1
1047,13,html,1
1048,13,http,2
1049,13,iphone,2
1050,13,linux,2
1051,13,mobile,5
1052,13,postfix,2
1053,13,web services,2
1054,26,analytical,1
1055,26,data collection,2
1056,26,design,1
1057,26,problem solving,1
1058,26,programming,1
1059,26,technical,1
1060,33,debugging,4
1061,33,design,4
1062,33,documentation,7
1063,33,http,2
1064,33,mobile,1
1065,33,programming,4
1066,33,software development,1
1067,33,solution development,3
1068,33,technical,8
1069,33,web development,8
1070,34,data collection,1
1071,34,databases,1
1072,34,design,2
1073,34,hardware,2
1074,34,programming,4
1075,34,reporting,1
1076,34,sas,2
1077,34,technical,1
1078,34,training,2
1079,5,consulting,1
1080,5,design,1
1081,5,engineering,1
1082,5,implementation,1
1083,5,project management,1
1084,99,consulting,1
1085,99,design,1
1086,99,engineering,3
1087,99,implementation,4
1088,99,leadership,1
1089,99,problem solving,1
1090,99,project management,2
1091,99,renewable energy,1
1092,99,technical,3
1093,99,training,1
1094,7,http,1
1095,38,communication,1
1096,38,internet,2
1097,38,mobile,2
1098,39,communication,1
1099,39,internet,1
1100,40,collaboration,7
1101,40,communication,1
1102,40,http,3
1103,40,implementation,1
1104,40,innovation,1
1105,40,internet,4
1106,40,reporting,1
1107,40,tableau,2
1108,142,ai,4
1109,142,collaboration,3
1110,142,communication,7
1111,142,tableau,1
1112,142,training,1
1113,199,communication,1
1114,199,word,1
1115,36,http,1
1116,36,internet,1
1117,24,ensemble,1
1118,45,databases,1
1119,26,collaboration,1
1120,26,e-commerce,1
1121,26,html,1
1122,26,php,1
1123,26,powershell,1
1124,26,visio,1
1125,26,windows,1
1126,74,e-commerce,1
1127,74,html,1
1128,74,http,2
1129,74,iphone,2
1130,74,linux,2
1131,74,mobile,5
1132,74,postfix,2
1133,74,web services,2
1134,8,communication,1
1135,8,reporting,2
1136,13,ai,5
1137,13,coaching,1
1138,13,communication,4
1139,13,documentation,1
1140,13,ensemble,1
1141,13,reporting,2
1142,17,communication,1
1143,17,ensemble,1
1144,17,mobile,2
1145,17,reporting,1
1146,2,coaching,1
1147,2,design,1
1148,2,hardware,3
1149,2,mobile,1
1150,2,reporting,1
